# Experiment Information
cloud dataset: Food-101
participant dataset: Caltech-101
participant number: 3
participant data split: Dirichlet
cloud model: ResNet-18
participant models: SqueezeNet, ShuffleNet, MobileNetV3
Time to split the data among participants with dirichlet: 13.62s
>>> Training participant 1
Epoch 1: training loss=4.320332222206648, validation loss=4.176115724775526
Epoch 2: training loss=4.125212331150854, validation loss=4.129584021038479
Epoch 3: training loss=4.090310285257739, validation loss=4.117837031682332
Epoch 4: training loss=4.073488845381626, validation loss=4.103909889856975
Epoch 5: training loss=4.056396889132123, validation loss=4.064616123835246
Epoch 6: training loss=4.042716713838799, validation loss=4.046292278501722
Epoch 7: training loss=4.019895304081052, validation loss=4.064922067854139
Epoch 8: training loss=4.00661160225092, validation loss=4.003980848524305
Epoch 9: training loss=3.965492703193842, validation loss=3.9585375520918102
Epoch 10: training loss=3.916046918824662, validation loss=3.9226254092322455
Epoch 11: training loss=3.887287788612898, validation loss=3.8813646369510226
Epoch 12: training loss=3.856257438659668, validation loss=3.8223319053649902
Epoch 13: training loss=3.8074219115944796, validation loss=3.781271669599745
Epoch 14: training loss=3.77650532057119, validation loss=3.7826448016696506
Epoch 15: training loss=3.751926843510118, validation loss=3.727230522367689
Epoch 16: training loss=3.705114386802496, validation loss=3.701704502105713
Epoch 17: training loss=3.693019234856894, validation loss=3.639459159639147
Epoch 18: training loss=3.653529494307762, validation loss=3.652999613020155
Epoch 19: training loss=3.6617124746012135, validation loss=3.804260677761502
Epoch 20: training loss=3.628279397653979, validation loss=3.590041160583496
Epoch 21: training loss=3.590557852456736, validation loss=3.545753743913439
Epoch 22: training loss=3.528383787288222, validation loss=3.6037621233198376
Epoch 23: training loss=3.533890069917191, validation loss=3.4667564498053656
Epoch 24: training loss=3.458851647931476, validation loss=3.3390289147694907
Epoch 25: training loss=3.408614391504332, validation loss=3.361540582444933
Epoch 26: training loss=3.386734973552615, validation loss=3.3222346040937634
Epoch 27: training loss=3.3906394936317623, validation loss=3.266864432228936
