[63, 3256, 1681]
[1424, 2409, 1167]
[776, 1453, 2771]
[197, 4134, 669]
[1377, 2312, 1311]
[1075, 1000, 2925]
[197, 1981, 2822]
[4349, 266, 385]
[2301, 1987, 712]
[3084, 899, 1017]
>>> Training participant 1
Epoch 1: training loss=2.854525237761695, validation loss=3.7045169027545786
Epoch 2: training loss=2.042532368980605, validation loss=3.1134612982786156
Epoch 3: training loss=1.8027628793798645, validation loss=2.899943839145612
Epoch 4: training loss=1.7156826930827107, validation loss=2.859888948971712
Epoch 5: training loss=1.6547924382933255, validation loss=2.721782368949697
Epoch 6: training loss=1.6017936344804435, validation loss=2.6254186418992056
Epoch 7: training loss=1.5521684021785342, validation loss=2.6107869540588764
Epoch 8: training loss=1.5180187651823307, validation loss=2.5743931018853488
Epoch 9: training loss=1.4744998000819107, validation loss=2.5359178374085247
Epoch 10: training loss=1.4458408484171177, validation loss=2.4311701859099957
Epoch 11: training loss=1.4114329408982704, validation loss=2.44018275979199
Epoch 12: training loss=1.3993847652755935, validation loss=2.4284986800785306
Epoch 13: training loss=1.3666114380647396, validation loss=2.4144341462775123
Epoch 14: training loss=1.3465408726498997, validation loss=2.3344371122649954
Epoch 15: training loss=1.3202722542758645, validation loss=2.3521384725087806
Epoch 16: training loss=1.309112951930227, validation loss=2.321315863464452
Epoch 17: training loss=1.2782846779145043, validation loss=2.3731391626068308
Epoch 18: training loss=1.27772447338392, validation loss=2.413784398308283
Epoch 19: training loss=1.258889276148944, validation loss=2.2648143587233145
Epoch 20: training loss=1.2398254835400089, validation loss=2.298118206519115
Epoch 21: training loss=1.2177311079255466, validation loss=2.2950778988343252
Epoch 22: training loss=1.2145443969759449, validation loss=2.1284689314757723
Epoch 23: training loss=1.1945014028199787, validation loss=2.2636180421974084
Epoch 24: training loss=1.184394798659045, validation loss=2.2116893273365648
Epoch 25: training loss=1.1790231399495026, validation loss=2.4452039456065697
Epoch 26: training loss=1.1628941649506832, validation loss=2.1968060460271714
Epoch 27: training loss=1.1487560336445939, validation loss=2.247407513328745
Early stop at epoch 27.
>>> Training participant 2
Epoch 1: training loss=3.200560003132015, validation loss=3.109171372425707
Epoch 2: training loss=2.345183644975935, validation loss=2.8147819162924077
Epoch 3: training loss=2.165685498095178, validation loss=2.671557372129416
Epoch 4: training loss=2.062241638248617, validation loss=2.5683169183851797
Epoch 5: training loss=1.98284796654404, validation loss=2.5001167798344093
Epoch 6: training loss=1.9206011980384976, validation loss=2.4123593780058847
Epoch 7: training loss=1.8629202231184228, validation loss=2.3609226911882812
Epoch 8: training loss=1.8260472676196655, validation loss=2.299891731407069
Epoch 9: training loss=1.7902908979298233, validation loss=2.2710602555093886
Epoch 10: training loss=1.758457367683386, validation loss=2.2300697519809387
Epoch 11: training loss=1.7107531606376944, validation loss=2.1909326088579397
Epoch 12: training loss=1.674994170665741, validation loss=2.158238549775715
Epoch 13: training loss=1.6424561154532742, validation loss=2.1355862089350253
Epoch 14: training loss=1.6133307315312422, validation loss=2.107235009157205
Epoch 15: training loss=1.5917805909336387, validation loss=2.095281677910044
Epoch 16: training loss=1.5609482573224354, validation loss=2.0625794914704336
Epoch 17: training loss=1.5264064754758562, validation loss=2.040644541571412
Epoch 18: training loss=1.5003719802026625, validation loss=2.023375643959528
Epoch 19: training loss=1.4661236966585185, validation loss=2.01394460020186
Epoch 20: training loss=1.4370320474172567, validation loss=1.9959776567507395
Epoch 21: training loss=1.4191993676222765, validation loss=1.9960503276390364
Epoch 22: training loss=1.3861605017990262, validation loss=1.9751433677311185
Epoch 23: training loss=1.364467491577198, validation loss=1.9664581983904295
Epoch 24: training loss=1.3409133526411923, validation loss=1.9524883605256866
Epoch 25: training loss=1.317419320344925, validation loss=1.9706327990640569
Epoch 26: training loss=1.2877835064352332, validation loss=1.9520125826702843
Epoch 27: training loss=1.2784882056248652, validation loss=1.9652955094470252
Epoch 28: training loss=1.2474544948184645, validation loss=1.9553039617176298
Epoch 29: training loss=1.2248724472600143, validation loss=1.9468521226810505
Epoch 30: training loss=1.2079695743786825, validation loss=1.9422441298448587
Epoch 31: training loss=1.190199509069517, validation loss=1.9549952247474767
Epoch 32: training loss=1.1589486666701057, validation loss=1.950297843051862
Epoch 33: training loss=1.1434511064321964, validation loss=1.9516393444206142
Epoch 34: training loss=1.1211544356562875, validation loss=1.966803274577177
Epoch 35: training loss=1.0977470361954207, validation loss=1.9665889905977854
Early stop at epoch 35.
>>> Training participant 3
Epoch 1: training loss=4.6870410442352295, validation loss=4.673117172868946
Epoch 2: training loss=4.635267586747477, validation loss=4.63295185113255
Epoch 3: training loss=4.579529502175071, validation loss=4.589156905307045
Epoch 4: training loss=4.517612339051301, validation loss=4.539195652249493
Epoch 5: training loss=4.446311994032427, validation loss=4.480136062525496
Epoch 6: training loss=4.360205469052653, validation loss=4.407045122943347
Epoch 7: training loss=4.255130322511531, validation loss=4.315448368651958
Epoch 8: training loss=4.12038136218205, validation loss=4.1993375669551805
Epoch 9: training loss=3.9456740607900067, validation loss=4.0481324980530555
Epoch 10: training loss=3.720483314892477, validation loss=3.853693681427195
Epoch 11: training loss=3.43325859554543, validation loss=3.62771883795533
Epoch 12: training loss=3.108658349218447, validation loss=3.401988476137572
Epoch 13: training loss=2.790225451642817, validation loss=3.207869200766841
Epoch 14: training loss=2.5209645761931236, validation loss=3.0508058342752578
Epoch 15: training loss=2.305245518191787, validation loss=2.9272958508020714
Epoch 16: training loss=2.164740474756099, validation loss=2.8327050903175452
Epoch 17: training loss=2.0613125503555803, validation loss=2.750799142861668
Epoch 18: training loss=1.9806219019180487, validation loss=2.6852373352533654
Epoch 19: training loss=1.9202641091070884, validation loss=2.6163547491725487
Epoch 20: training loss=1.8665598951095392, validation loss=2.5680216415018977
Epoch 21: training loss=1.8198969492242356, validation loss=2.5246613448179223
Epoch 22: training loss=1.782802771438252, validation loss=2.47900294653977
Epoch 23: training loss=1.743510413268381, validation loss=2.4364640456211717
Epoch 24: training loss=1.7105962604530587, validation loss=2.4009381683566904
Epoch 25: training loss=1.6822466638462603, validation loss=2.3673822985419744
Epoch 26: training loss=1.6514580136488293, validation loss=2.341886298565925
Epoch 27: training loss=1.624421563522875, validation loss=2.31172726878637
Epoch 28: training loss=1.5993974632468104, validation loss=2.2940849820269813
Epoch 29: training loss=1.5758267813477635, validation loss=2.270877626877797
Epoch 30: training loss=1.55628236118427, validation loss=2.2604480166978473
Epoch 31: training loss=1.5341142637670533, validation loss=2.227487508254715
Epoch 32: training loss=1.518838605604881, validation loss=2.221554904044429
Epoch 33: training loss=1.4978736461686695, validation loss=2.218862239318558
Epoch 34: training loss=1.4868280651155583, validation loss=2.196598464929605
Epoch 35: training loss=1.4705849122409977, validation loss=2.1880663965321796
Epoch 36: training loss=1.4513470579769985, validation loss=2.1822884188422673
Epoch 37: training loss=1.4354601275822347, validation loss=2.175694270979
Epoch 38: training loss=1.4274114232417965, validation loss=2.171756928480124
Epoch 39: training loss=1.410439031183227, validation loss=2.162090220028841
Epoch 40: training loss=1.3967364617615692, validation loss=2.1611126253876507
Epoch 41: training loss=1.3793242194435813, validation loss=2.167746663093567
Epoch 42: training loss=1.3674596548080444, validation loss=2.1521720614614366
Epoch 43: training loss=1.3621686687154217, validation loss=2.1628207224833815
Epoch 44: training loss=1.3520445375403096, validation loss=2.1594133286536494
Epoch 45: training loss=1.3412551707472682, validation loss=2.167966140976435
Epoch 46: training loss=1.3281829406407253, validation loss=2.1614734839789476
Epoch 47: training loss=1.3250980071785037, validation loss=2.1585769411883775
Early stop at epoch 47.
>>> Training the cloud model...
Epoch 1: training loss=4.098643304287703, validation loss=3.8845338983969255
Epoch 2: training loss=3.679406667577809, validation loss=3.52745937759226
Epoch 3: training loss=3.3756993365013734, validation loss=3.2867315736683933
Epoch 4: training loss=3.1575878666735244, validation loss=3.1032420667735012
Epoch 5: training loss=2.9661247058846483, validation loss=2.931241460821845
Epoch 6: training loss=2.8462314228901917, validation loss=2.84144908731634
Epoch 7: training loss=2.727383392980729, validation loss=2.7497350004586307
Epoch 8: training loss=2.6138690490832275, validation loss=2.6442032266746867
Epoch 9: training loss=2.5286950503272574, validation loss=2.546651997349479
Epoch 10: training loss=2.416976741675673, validation loss=2.5234405398368835
